Index,Barcode,Name,Price,Stock,Transactions,Capacity,Percent,Status
123,8905127845430,Valerian Root 30caps,192.79,607,11,880,68.98,0
125,8007423166315,Hair Conditioner 175ml,454.84,259,18,312,83.01,0
125,8909867582129,Stockpot 6L,437.41,733,2,768,95.44,1
126,5006433441620,Corn Stripper,663.38,618,24,790,78.23,1
129,8706920775562,Coconut Milk Shampoo 200ml,428.41,807,24,956,84.41,1
132,8006200212238,Saline Nasal Spray 150ml,181.94,472,45,694,68.01,1
134,5003037815048,Reading Glasses +1.5,789.78,710,18,745,95.30,1
135,8904395916217,Cotton Pads 80pcs,147.42,373,5,441,84.58,0
137,5608152501496,Guava Nectar 500ml,707.78,406,2,565,71.86,1
137,5005766626902,Eye Wash Cup,302.48,736,21,769,95.71,1
138,3002325357040,Cast Iron Skillet 25cm,298.63,524,5,582,90.03,0
140,8007529352841,Stainless Steel Cleaner 250ml,693.80,691,5,765,90.33,1
140,5605984913268,Magazine File Box,64.16,447,43,537,83.24,1
141,4006576929376,Car Charger Dual,443.19,620,3,625,99.20,0
144,5604633871645,Ponni Rice 1kg,163.52,177,21,243,72.84,1
144,5608667640123,Idli Maker 4-mould,56.68,733,40,987,74.27,0
145,8008347957409,Cologne 50ml,132.01,379,7,406,93.35,1
148,5606966390565,Multigrain Chips 70g,200.04,243,12,304,79.93,1
150,5001621381269,Paper Towels 2-roll,299.48,225,31,284,79.23,1
154,3001732324676,Fox Nuts 100g,93.30,267,31,395,67.59,1
155,8907532165158,Khakhra 200g,334.48,178,3,202,88.12,0
155,4007119076854,Meat Thermometer Instant,684.29,583,6,798,73.06,0
157,4008887628597,Cheddar Cheese 100g,446.64,172,41,244,70.49,0
157,5008808283712,Lotus Seeds 100g,709.14,694,31,727,95.46,0
158,6909707660521,Gaming Mouse 7-button,699.82,568,45,683,83.16,0
161,3007851142122,Screen Cleaning Kit,651.87,353,23,403,87.59,0
161,5601795522002,Balance Board,375.85,522,28,584,89.38,1
161,6904121081112,Gymnastic Mat 4cm,795.06,545,16,596,91.44,0
164,3009542201644,Moringa Powder 100g,377.27,411,4,501,82.04,1
164,4002525006761,Tamarind Candy 100g,82.03,581,40,679,85.57,0
168,8901128203163,Protein Bar 60g,175.43,304,7,329,92.40,1
168,4006639760212,Double-Side Tape,355.17,337,2,472,71.40,0
171,5003899685285,Washing Powder 1kg,475.05,664,13,738,89.97,0
171,8909003504633,SD Card 32GB,118.37,555,19,628,88.38,0
173,6906753257743,Barley 500g,224.24,592,41,746,79.36,1
173,5602196795323,Baby Wipes 80pcs,50.94,317,13,398,79.65,0
173,4002702759534,Electrolyte Sachet 10pcs,785.16,481,6,504,95.44,1
176,8901246604354,Sparkling Water 500ml,45.05,647,43,855,75.67,0
177,3007849860342,Mango Jam 200g,198.92,614,45,719,85.40,1
181,8009761816730,Measuring Spoon Set 5pcs,438.26,271,19,298,90.94,1
181,6909654007622,Almond Cookies 150g,221.24,443,10,552,80.25,1
181,8006880636386,Decorative Stickers A4 Sheet,341.63,212,39,299,70.90,0
181,5606741732825,Turtleneck Sweater M,694.62,697,25,870,80.11,0
183,5604894508748,Anarkali Suit S,159.51,703,36,749,93.86,0
184,4001733903657,Staple Pins 1000pcs,505.41,343,27,442,77.60,1
185,8009145919040,Rice Puffs 100g,243.47,766,24,806,95.04,0
186,4002222829809,Label Maker Tape 12mm,745.78,188,29,219,85.84,0
188,5009846168276,External SSD 500GB,1588.91,660,7,922,71.58,1
190,8003099113240,Cable Organizer,104.36,625,40,829,75.39,0
191,4005455176368,Dental Floss 50m,558.51,558,44,691,80.75,0
191,3003823258679,Aebleskiver Pan,1027.45,707,48,802,88.15,0
193,8009296558075,Kurta M,373.78,680,29,954,71.28,1
193,8907715554595,Poppy Seeds 50g,567.84,638,1,767,83.18,0
194,6901095686930,Dried Hibiscus 25g,344.38,318,6,463,68.68,1
199,5003391376476,Earphones Wired,1648.13,727,29,792,91.79,1
200,5005395568604,Lassi 500ml,300.25,706,12,827,85.37,1
200,4001274622130,Perfume 30ml,138.52,547,24,593,92.24,1
201,8004790392125,Dough Scraper,584.39,173,24,213,81.22,0
201,8702717097381,Cooling Gel Patch 4pcs,460.81,708,36,799,88.61,1
202,8006587368061,Corn Flour 500g,249.35,244,5,252,96.83,1
203,8002670965209,Compression Tights M,625.56,704,49,936,75.21,0
206,8903351414590,White Chocolate 80g,41.12,767,20,787,97.46,1
206,5007935742741,Peeler Ergonomic,582.52,478,5,538,88.85,1
209,6909090919589,Bhujia Sev 200g,400.09,230,41,304,75.66,1
210,4002611976404,White Vinegar 1L,514.13,700,4,775,90.32,1
211,5007720731516,Muesli 400g,554.86,706,33,782,90.28,1
211,8908690033273,Lemonade 500ml,492.25,717,23,770,93.12,0
216,4004155939679,Cloves 25g,323.17,741,1,845,87.69,0
216,8906850281045,Tongue Cleaner,37.04,615,43,722,85.18,0
217,8902542962001,Running Shoes M8,320.26,213,28,312,68.27,0
217,8005281802901,Zinc 25mg 30tabs,105.25,218,13,286,76.22,1
220,8001151739650,Condensed Milk 400g,94.82,579,35,808,71.66,1
226,8909512614168,Deodorant Spray 150ml,121.45,468,12,496,94.35,1
226,4004399811809,Casserole 1.5L,436.51,169,11,216,78.24,0
229,8908775031927,Highlighter Yellow,58.58,618,13,643,96.11,0
229,5604661416559,Biryani Masala 50g,99.86,288,23,425,67.76,0
229,5606855977150,Jump Rope Speed,777.02,879,35,974,90.25,0
234,3004258044509,Moringa Capsules 60caps,49.76,434,12,541,80.22,1
234,5009919436202,Dhoti White,198.92,799,27,861,92.80,0
236,4005997860091,Body Lotion 200ml,487.44,399,19,430,92.79,0
237,4007925290680,Baby Powder 100g,755.52,815,27,918,88.78,0
237,6908573562717,Cycling Jersey M,581.72,270,41,323,83.59,1
238,3004851018013,Bluetooth Speaker Portable,716.18,343,12,370,92.70,1
238,8007444860704,Denim Skirt M,887.32,310,3,398,77.89,1
240,5002885485366,Citric Acid 200g,58.17,824,24,883,93.32,1
245,8905126485897,Flavoured Milk 200ml,53.77,807,12,842,95.84,1
249,5004264028409,Steel Wool Pad 5pcs,430.67,693,39,799,86.73,0
249,5603803886823,Over-Door Organiser,608.82,233,34,323,72.14,0
249,8908650773928,Smart Bulb E27,251.93,580,1,724,80.11,0
