index,barcode,name,quantity,price
242,8905281063169,Amul Lassi Strawberry 750ml,211,237.99
243,8906035360091,Gerber Puffs Banana 100g,163,1838.77
244,8900912578128,Pril Dishwash 500ml,246,136.04
245,3815263938741,Pantoprazole 40mg Strip 50tab,435,453.76
246,0498312927571,Mountain Dew 250ml,23,194.71
247,4713518170696,boAt USB Cable 100m,257,148.61
248,0419622129134,Safal Green Peas 200g,160,616.88
249,0765490573778,Bisleri Water 1000ml,398,97.92
250,0768113932549,Britannia Cheese Slices 1500g,249,127.86
251,0416073789177,Priya Pickle Chilli 500g,476,287.18
252,0705861596340,Staedtler Pencil 4B,554,139.14
253,8902420296846,Eastern Chicken Masala 50g,375,335.26
254,8900786737034,Safal Mixed Vegetables 400g,56,579.33
255,0126264005091,7UP 500ml,190,62.15
256,8901769459141,Lizol Floor Cleaner 750ml,300,527.64
257,0764367181504,Snickers 55g,426,604.91
258,3815981512100,Lux Soap 50g,184,443.89
259,0121459551049,Havells LED Bulb 7W,179,572.37
260,0356621718955,Pril Dishwash 100ml,132,76.05
261,8905085326323,Ching's Schezwan Chutney 2g,139,40.61
262,3819435795927,Pantoprazole 40mg Strip 30tab,475,685.11
263,0492405678944,Appy Fizz 1500ml,230,247.74
264,4719678216311,Camlin Geometry Box,529,284.24
265,0419827206173,Amul Pizza Base 250g,117,292.72
266,0379968704030,Nestum Rice Cereal 250g,176,933.15
267,0413220401982,Danone Yogurt Vanilla 1000g,56,612.14
268,6908559352899,Philips LED Bulb 9W,200,1456.06
269,8902982198138,Himalaya Baby Cream 400g,101,168.61
270,8905089588604,Minute Maid Mixed Fruit 200ml,444,96.84
271,8905017847254,Amul Ice Cream Pepperoni 400ml,70,566.02
272,0127756785064,Pepsi 2000ml Bottle,238,175.86
273,0765174771919,KitKat 55g,114,841.47
274,0379097871771,Pampers Diapers XL Pack of 40,14,326.05
275,3811018672052,ENO Fruit Salt 150g,99,788.85
276,4717203792347,Anker USB-C Cable 100m,169,1363.37
277,8904196032093,Wai Wai Noodles 90g,447,291.48
278,8909575219492,Dettol Surface Cleaner 750ml,71,137.61
279,8007121380051,Amul Milk Chocolate 45g,354,581.25
280,0120518802283,Syska LED Bulb 9W,207,133.49
281,8900744193537,Amul Cream 500ml,144,460.1
282,0356887349757,Dettol Surface Cleaner 2000ml,38,587.06
283,0121264471426,Energizer AA Batteries Pack of 4,61,1709.87
284,3005295053950,Pantoprazole 40mg Strip 100tab,148,744.92
285,0411971499012,McCain French Fries 250g,104,585.27
286,8907740622641,Top Ramen Classic 70g,233,226.46
287,0402181994282,Snickers 40g,590,330.34
288,0760057513914,ITC Sunfeast Frozen Paratha 6pc,80,419.14
289,3008654002330,Vicks VapoRub 50g,134,259.16
290,0401443732327,Bikaji Namkeen 150g,284,177.2
291,3815828825264,Johnson's Baby Wash 500ml,176,1188.46
292,8903471624558,Godrej Real Good Chicken 500g,74,170.2
293,8907738393249,Eastern Chicken Masala 50g,410,134.27
294,8901680966056,Robin Fabric Whitener 1500ml,43,226.16
295,0417472654806,Danone Yogurt Blueberry 1000g,67,268.07
296,0498918920822,Limca Lemon 330ml,335,100.52
297,4710709618494,Syska Power Bank 10000mAh,230,418.47
298,6909924189126,Panasonic AA Batteries Pack of 8,298,837.85
299,0385625676817,Royal Canin Cat Food 100kg,36,1740.31
300,0128525112906,Duracell AA Batteries Pack of 8,238,1410.46
301,6908722041728,Energizer AA Batteries Pack of 4,133,1366.76
302,0351238569044,Odonil Room Freshener 200g,276,154.39
303,8903451061908,Aashirvaad Atta 5kg,357,728.09
304,8902360986661,Tata Salt 1kg,204,618.53
305,0389908283235,Too Yumm Cheese 70g,424,193.42
306,0708846200423,Fevicol Glue 100ml,458,363.24
307,0857547862420,Classmate Sketch Pens 12pc,763,13.17
308,0386370151253,Bingo Mad Angles BBQ 250g,264,171.42
309,3810176636043,Chicco Baby Bottle 200ml,200,540.96
310,0389441013870,Me-O Cat Food Original 100kg,89,684.63
311,0287199933924,Lays Masala Chips 25g,421,22.89
312,4715520789996,Osram LED Bulb 15W,87,644.39
313,8907380002759,Lizol Floor Cleaner 1500ml,72,205.85
314,0764249402468,Britannia Cheese Slices 1000g,179,270.05
315,0419159662371,Shan Tikka Masala 500g,338,259.62
316,8900481592631,Knorr Soup Mushroom 750g,269,200.69
317,0769809594058,Amul Gold Milk 1500ml,281,363.08
318,8904575186836,Mortein Spray 750ml,16,498.83
319,8901064455404,Amul Ghee 200g,128,295.52
320,0405265589466,Alpenliebe 100g,218,1185.39
321,0767332297408,Pillsbury Atta 100kg,306,556.52
322,0765357938382,Snickers 150g,535,92.84
323,4710020529905,Mi Power Bank 10000mAh,109,760.83
324,4711396186068,Camlin Geometry Box,743,256.76
325,0765017915715,Fortune Atta 2kg,343,23.33
326,0761829912034,Aquafina Water 330ml,222,172.44
327,0232887243298,Catit Cat Litter 100kg,85,2558.6
328,0382082401143,Bikaji Namkeen 50g,173,189.5
329,8906842486274,Mother Dairy Milk 100ml,180,384.29
330,0751998432525,Horlicks Strawberry 1000g,398,52.66
331,0380529481482,Royal Canin Cat Food 100kg,140,1176.37
332,4711221016478,Lexi Ball Pen 10pc Pack,705,298.61
333,4007985324202,Johnson's Baby Lotion 30ml,200,84.8
334,8904540786092,Horlicks Mango 1500g,474,129.35
335,0122005279240,Real Fruit Juice Mango 200ml,73,27.09
336,0760566724962,Milkybar 150g,381,897.54
337,8902336642461,Kissan Mixed Fruit Jam 750g,285,1196.26
338,6906110251919,Syska Power Bank 20000mAh,163,1461.94
339,0419939711510,Amul Lassi Mango 200ml,141,31.71
340,8904620894051,Fair & Lovely Cream 75g,198,632.65
341,4711684689684,Energizer AA Batteries Pack of 2,143,956.99
342,8003918989179,Mentos Mint 150g,549,44.07
343,8903168576252,Amul Ice Cream Butter Pecan 250ml,83,534.14
344,0405643975737,Oreo Biscuits 250g,151,201.03
345,3818396159618,Cetirizine 10mg Strip 150tab,65,662.43
346,8906695553369,Tide Detergent 1500g,27,562.24
347,3006535035811,Himalaya Liv.52 20tab,272,517.45
348,0769812038815,Alpenliebe 150g,448,881.67
349,0123225275814,Panasonic AA Batteries Pack of 8,245,1413.93
350,0479707790505,Listerine Mouthwash 500ml,184,699.12
351,0752398858250,Sprite 250ml Can,44,197.49
352,0124760550091,7UP 1500ml,278,171.52
353,0415631042655,Kwality Wall's Ice Cream 1000ml,70,89.37
354,3811057635100,Supradyn Multivitamin 10tab,412,352.15
355,0705932789671,Stapler Pins Pack of 100,188,388.39
356,0418895723841,MDH Rajma Masala 50g,62,247.12
357,0701266272247,Stapler Pins Pack of 6,709,374.97
358,0416733691284,MDH Chaat Masala 200g,446,161.17
359,4711165874653,Energizer AA Batteries Pack of 8,114,1363.09
360,0411029638028,Badshah Chaat Masala 500g,442,78.63
361,0219098293045,Tide Detergent 500g,176,436.39
362,0413403859784,Safal Green Peas 500g,72,399.3
363,0855529618867,Stapler Pins Pack of 10,332,301.88
364,4715039980433,Sellotape Transparent Roll,275,742.78
365,6907342682014,3M Double-Sided Tape 100mm,157,650.56
366,6903117129586,Energizer AA Batteries Pack of 12,152,1213.8
367,4718422579535,Osram LED Bulb 12W,152,152.63
368,0125559649453,3M Double-Sided Tape 100mm,93,1295.7
369,0120756235393,Mi USB Cable 100m,10,1142.47
370,0767855483678,Britannia Cheese Slices 500g,240,180.85
371,8908841133098,Vadilal Ice Cream Pepperoni 250ml,78,545.9
372,0753778481099,Lipton Green Tea 250g,295,195.17
373,8907284918637,Huggies Diapers M Pack of 72,90,1193.63
374,8903746036154,Surf Excel 1000g,203,409.41
375,8002733283240,KitKat 80g,455,119.12
376,0473553538144,Dove Soap 250g,162,687.58
377,3817891596072,Savlon Antiseptic Liquid 10ml,106,204.48
378,0760273574836,McCain French Fries 400g,20,402.57
379,0387042930008,Bikaji Namkeen 400g,424,53.34
380,3810958792158,MamyPoko Diapers S Pack of 20,103,1552.49
381,0353017146941,Ariel Detergent 1000g,206,70.86
382,0389294115684,Colgate Mouthwash 50ml,158,105.26
383,3005026370158,Pantoprazole 40mg Strip 60tab,384,224.9
384,0709197677827,Camlin Geometry Box,783,208.62
385,8006808325019,Perk 200g,595,240.7
386,0409093471597,Sunfeast Dark Fantasy 250g,295,180.02
387,4001871768095,Band-Aid Strips Pack of 200,489,212.75
388,0385277444888,Trixie Dog Leash 100m,146,2115.29
389,8902373774187,Vadilal Ice Cream Butter Pecan 200ml,55,444.89
390,8909522367917,Pepsi 500ml Bottle,277,195.58
391,0756414238453,Sprite 250ml Can,59,31.56
392,0412470008958,Nestle Slim Milk 1500ml,299,178.01
393,0706296377245,Faber-Castell Pencil 2B Pack of 6,60,219.41
394,4716647564862,Camlin Geometry Box,553,19.27
395,8905828969701,Chicco Baby Bottle 50ml,147,1420.69
396,0769112228497,Dhara Mustard Oil 5L,264,1123.66
397,0370960452653,Johnson's Baby Wash 500ml,81,1688.55
398,0709995625075,Apsara Eraser Pack of 100,233,31.21
399,8907657883807,Catch Cumin Powder 200g,413,162.78
400,0235132751807,Pedigree Dog Food Original 100kg,82,975.95
401,0763852494235,Mother Dairy Dahi 750g,70,218.85
402,8905846617028,Tropicana Orange Juice 250ml,381,21.69
403,8902898207665,Febreze Air Freshener 100ml,243,114.26
404,8905777318810,Aachi Biryani Masala 500g,173,141.33
405,0375197035105,Dove Shampoo 50ml,310,233.14
406,8907290138661,Suhana Biryani Masala 100g,165,255.9
407,0384760341048,Colgate Toothpaste 100g,381,42.7
408,0214070204422,Robin Fabric Whitener 1000ml,76,396.59
409,0758894990463,Bisleri Water 200ml,340,117.75
410,8906693642560,Tata Tea Premium 750g,51,56.42
411,4002077614230,Revital H 30tab,145,261.92
412,0384554898109,Parle-G Biscuits 50g,203,193.31
413,4011664188313,Sunsilk Shampoo 500ml,133,415.8
414,8900330394331,Maggi Masala Sauce 750g,352,1072.21
415,0766784703369,Amul Lassi Vanilla 100ml,155,754.29
416,0702780754332,Stapler Pins Pack of 20,75,290.92
417,0125199970764,Sellotape Transparent Roll,90,216.73
418,0768747749810,Mother Dairy Milk 250ml,236,718.6
419,0757449942902,Pepsi 1000ml Bottle,378,74.49
420,8909390757087,Pillsbury Atta 10kg,87,105.25
421,8906027043124,Dettol Surface Cleaner 500ml,171,194.61
422,4001048829000,Moov Pain Relief Cream 10g,314,433.36
423,0765169653794,Aquafina Water 750ml,93,148.74
424,0410717954556,Badshah Chaat Masala 200g,192,121.83
425,0389245880944,Dove Shampoo 150ml,43,429.32
426,0769468469001,Go Cheese Spread 1000g,167,631.91
427,0373164861177,Johnson's Baby Shampoo 400ml,156,1895.5
428,0412059960981,Fortune Atta 1000kg,354,640.98
429,0765232278947,Venky's Chicken Nuggets 750g,106,561.57
430,0852593706834,Fevicol Glue 100ml,274,306.34
431,8900330767982,McCain French Fries 250g,26,108.63
432,0128275131882,Himalayan Water 2000ml,140,124.57
433,0491713339158,Nescafe Classic 750g,308,16.18
434,3008351235543,Iodex Pain Balm 50g,91,197.16
435,0387970524850,Pedigree Dentastix Pack of 14,142,1456.93
436,0858809570879,Classmate Notebook 192pg Four Line,40,233.93
437,8906877455924,Himalaya Liv.52 25tab,453,787.88
438,0767811775694,McCain French Fries 250g,168,223.82
439,8908258492030,Tata Turmeric Powder 100g,147,160.89
440,6903997429813,Duracell AAA Batteries Pack of 4,40,1886.37
441,0417787853192,Shan Tikka Masala 200g,256,98.87
442,0762490041658,McCain French Fries 250g,161,391.26
443,8906932095706,7UP 2000ml,316,236.53
444,0419024618205,McCain Smiles 1000g,58,324.86
445,0859550915490,Scotch Tape 100mm,397,190.52
446,8003475680137,Eclairs Toffee Pack 100g,424,646.34
447,8904643368621,Pedigree Dog Food Original 100kg,147,1309.3
448,6907433602525,Havells LED Bulb 15W,155,1279.1
449,0371554617441,Johnson's Baby Oil 100ml,54,1558.74
450,4716919634521,Luxor Marker Red,168,133.53
451,0706965021103,Camlin Wax Crayons 6pc,188,376.85
452,0763634667093,Haldiram Frozen Samosa 10pc,53,483.0
453,3819072375759,Listerine Mouthwash 150ml,324,509.6
454,3810275320386,Johnson's Baby Powder 30g,311,580.64
455,4714445537132,Classmate Sketch Pens 6pc,135,144.75
456,4719512981306,Sellotape Transparent Roll,114,1661.17
457,0418470957692,Badshah Chaat Masala 100g,390,315.41
458,0370249452497,Himalaya Baby Shampoo 50ml,110,1576.93
459,0377350043538,Chicco Baby Bottle 200ml,19,757.23
460,8904181493830,Scotch-Brite Scrub Pad 6pc,70,99.45
461,0415488835103,Suhana Biryani Masala 200g,447,272.51
462,0704766200543,Fevicol Glue 100ml,209,395.49
463,0125047100275,Havells LED Bulb 9W,28,517.34
464,0400635419640,Chupa Chups 8pc,468,283.23
465,3811803792330,Pampers Baby Wipes Pack of 72,40,326.94
466,3815878909860,ENO Fruit Salt 25g,304,575.68
467,0400526422292,Lays Masala Chips 150g,250,190.54
468,8908993341976,Whiskas Cat Food Original 100kg,6,359.93
469,0405300160773,Bounty 100g,97,744.83
470,0762002712007,Amul Cheese Slices 250g,114,514.11
471,8903390274629,Maggi Masala Sauce 2g,57,1043.29
472,0380621430029,Head & Shoulders 200ml,206,542.14
473,3812441151022,Crocin 500mg Strip 60tab,51,301.3
474,0126141613395,Philips LED Bulb 7W,79,552.77
475,8007508350905,Amul Milk Chocolate 10g,34,46.33
476,4715372037375,Faber-Castell Pencil HB Pack of 20,306,21.31
477,4710897037244,3M Double-Sided Tape 100mm,175,1407.09
478,0352133543481,Domex Toilet Cleaner 2000ml,130,98.18
479,0387868630274,Hamam Soap 100g,16,568.24
480,8904293484238,Dettol Soap 75g,161,597.86
481,8903819004530,Venky's Chicken Nuggets 400g,57,478.05
482,0415170489928,MDH Chaat Masala 50g,112,166.27
483,6909856207639,Syska LED Bulb 7W,198,1870.76
484,4719115860879,Natraj Color Pencils Pack of 100,653,42.59
485,8901719967351,Domex Toilet Cleaner 200ml,172,53.65
486,0122946096319,Havells LED Bulb 9W,59,1396.98
